Title,Place,Land Size,PublishDate,Price
Land For Sale At Nangkhel Bhaktapur,Bhaktapur > Nangkhel (Suryabinayak)  ,  Land Size (in aana/dhur): 12,06-11-2021,"Rs. 4,50,000"
Land On Kaushaltar Sadhe 4 Aana Ko Jagga,Bhaktapur > Kaushaltar  ,  Land Size (in aana/dhur): 5,16-10-2021,"Rs. 45,00,000"
Greenland House For Sale,Kathmandu > Dhapasi (Tokha)  ,  Land Size (in aana/dhur): 7,24-09-2021,"Rs. 4,50,00,000"
5 Ropani Land In Kaushaltar Highway With 1 House 3 Tahara 8 Shutters,Bhaktapur > Kaushaltar  ,  Land Size (in aana/dhur): 80,21-09-2021,"Rs. 5,00,000"
Land Rover Freelander 2 Dashboard,, ,27-05-2019,"Rs. 2,50,000"
One-storey Old House With 6 Aana Land For Rent In Tikhidewal,Lalitpur > Mahalaxmisthan  ,  Land Size (in aana/dhur): 6,23-12-2021,"Rs. 30,000"
Land On Sale At Taukhel Lalitpur,Lalitpur > Taukhel (Godawari)  ,  Land Size (in aana/dhur): 16,16-12-2021,"Rs. 17,50,000"
Land With Tahara Aaryal Gaon,Kathmandu > Gothatar (Kageshwor), ,07-12-2021,"Rs. 23,00,000"
Land On Sale At Sakhu Urgent Sale,Lalitpur > Sankhu (Konjyosom Rural)  ,  Land Size (in aana/dhur): 3,20-09-2021,"Rs. 16,00,000"
9.5 Anna Commercial Land On Sale At Imadol Highway,Lalitpur > Imadol (Mahalaxmi)  ,  Land Size (in aana/dhur): 9.5,16-09-2021,"Rs. 9,25,00,000"
6 Anna Land On Sale At Khumaltar Height Near Premier School,Lalitpur > Satdobato  ,  Land Size (in aana/dhur): 6,03-09-2021,"Rs. 42,00,000"
12 Anna Land On Sale At Imadol Near Gabisa,Lalitpur > Imadol (Mahalaxmi)  ,  Land Size (in aana/dhur): 12,03-09-2021,"Rs. 35,00,000"
Land Sale In Godawari Taukhel,Lalitpur > Taukhel (Godawari), ,31-08-2021,"Rs. 15,50,000"
10 Anna Land On Sale At Kumaripati,Lalitpur > Kumaripati  ,  Land Size (in aana/dhur): 10,26-08-2021,"Rs. 1,65,00,000"
Residential Land On Sale At Guheshwori (behind Pashupati Mandir),Kathmandu > Guheshwori Pashupatinath  ,  Land Size (in aana/dhur): 8,13-08-2021,"Rs. 38,00,000"
Sanaypa Jhamsekhel Land Sell,Lalitpur > Jhamsikhel  ,  Land Size (in aana/dhur): 24,30-07-2021,"Rs. 63,00,000"
Commercial Land On Sale In Bhairahawa Rupandehi,Rupandehi (Bhairahawa) > Bank Road, ,12-07-2021,"Rs. 7,00,000"
Banasthali Land For Rent,Kathmandu > Banasthali  ,  Land Size (in aana/dhur): 40,20-04-2021,"Rs. 1,50,000"
Changunarayan Land For Sale,Bhaktapur > Chaling (Changunarayan)  ,  Land Size (in aana/dhur): 48,11-04-2021,"Rs. 13,00,000"
Chhaling Land For Sale,Bhaktapur > Chaling (Changunarayan)  ,  Land Size (in aana/dhur): 32,11-04-2021,"Rs. 8,00,000"
Land For Sale At Bhaisepati Gokul Awas,Lalitpur > Bhaisepati / Sainbu  ,  Land Size (in aana/dhur): 5.5,25-03-2021,"Rs. 52,00,000"
Land For Sale In Biratnagar,Morang (Biratnagar) > Tankisinuwari  ,  Land Size (in aana/dhur): 4क,19-03-2021,"Rs. 30,00,000"
Land On Sale At New Baneshwor Code No Gjblos 2536,Kathmandu > New Baneshwor  ,  Land Size (in aana/dhur): 3,24-02-2021,"Rs. 87,00,000"
Urgent Land Sale Near Thankot,Dhading > Dhading (Other Area), ,13-02-2021,"Rs. 4,50,000"
Land With House On Sale At Jorpati Narayantar Code No Gjbhos 2543,Kathmandu > Narayantar (Jorpati)  ,  Land Size (in aana/dhur): 32,03-01-2021,"Rs. 16,75,00,000"
Land 500 M From Rata Makai Also Near Kharibot Balkumari,Lalitpur > Imadol (Mahalaxmi)  ,  Land Size (in aana/dhur): 7.5,11-12-2021,"Rs. 45,00,000"
Land 4 Aana Sale,Kathmandu > Bhimdhunga (Nagarjun), ,07-12-2021,"Rs. 40,00,000"
Urgent Sale Land In Tilottama Nayamill,Rupandehi > Tilottama  ,  Land Size (in aana/dhur): 10,28-11-2021,"Rs. 30,00,000"
Bhanimandal Ma 8 Aana Land On Sale,Lalitpur > Bhanimandal (Ekantakuna)  ,  Land Size (in aana/dhur): 8,28-02-2021,"Rs. 70,00,000"
60 Bigha Land For Sale In Bhairawa,Rupandehi (Bhairahawa) > Airport Bhairahawa  ,  Land Size (in aana/dhur): 2800,29-10-2021,"Rs. 40,000"
Stainless Steel Multipurpose (strainer) Colander - Large 34cm,, ,12-08-2021,Rs. 895
8 Aana Land For Sale At Taulung,Kathmandu > Budhanilkantha  ,  Land Size (in aana/dhur): 8,20-08-2019,"Rs. 23,00,000"
"9 To 20 Roponi Land For Sale In Fast Track, Makhu Besi,",Kathmandu > Chaimale (Dakshinkali)  ,  Land Size (in aana/dhur): 144,17-06-2021,"Rs. 6,50,000"
Roland Pd 7 For Pad Drum Exchange,, ,29-07-2018,"Rs. 6,000"
Chandragiri Thankot Land On Sale - 8 Anna,Kathmandu > Mahadevsthan (Chandragiri)  ,  Land Size (in aana/dhur): 8,23-04-2021,"Rs. 34,50,000"
"110 Bigha Land For Sale In Madi, Chitwan",Chitwan > Madi  ,  Land Size (in aana/dhur): 4400,15-02-2021,"Rs. 25,000"
17 Ana Land Near Deuba Niwas,Kathmandu > Budhanilkantha  ,  Land Size (in aana/dhur): 17.2,16-03-2021,"Rs. 38,00,000"
"4 Roponi Land For Sale In Bhutkhel, Chobhar.",Kathmandu > Chobhar (Kirtipur)  ,  Land Size (in aana/dhur): 59,27-06-2020,"Rs. 15,00,000"
"1 Bigha Land For Sale In 37 Bigha, Nijgadh.",Bara > Nijgadh  ,  Land Size (in aana/dhur): 400,15-02-2021,"Rs. 1,10,000"
12 Ana East Faced Land At Rudreshwor,Kathmandu > Budhanilkantha  ,  Land Size (in aana/dhur): 12,29-04-2021,"Rs. 45,00,000"
3 Aana 3 Paisa Land In Sale Machchhe Goun,Kathmandu > Machhegaun (Chandragiri)  ,  Land Size (in aana/dhur): 3,02-10-2018,"Rs. 18,00,000"
41 Ropani Land For Sale,Dhading > Dhunibeshi  ,  Land Size (in aana/dhur): 41 R,20-07-2021,"Rs. 8,00,000"
9 Aana Land For Sale In Chobhar Hight,Kathmandu > Chobhar (Kirtipur)  ,  Land Size (in aana/dhur): 8,19-07-2020,"Rs. 10,00,000"
18 Aana High Commercial Land For Sale In Sanepa Chowk,Lalitpur > Sanepa  ,  Land Size (in aana/dhur): 18,26-12-2021,"Rs. 1,50,00,000"
"7 Roponi Land For Sale In Badbhanjyang, Dahachok, Thankot",Kathmandu > Dahachok (Chandragiri)  ,  Land Size (in aana/dhur): 112,03-10-2021,"Rs. 7,00,000"
Land On Sale At Lumkot Nearby Training Centre Of Police,Kathmandu > Chandragiri  ,  Land Size (in aana/dhur): 4,12-11-2020,"Rs. 20,00,000"
25 Aana 3 Paisa Land Sale Balkhu Inside Ringroad,Kathmandu > Balkhu  ,  Land Size (in aana/dhur): 25.3,19-12-2021,"Rs. 45,00,000"
House For Sale In Dhobighat 9 Aana Land Compound,Lalitpur > Dhobighat  ,  Land Size (in aana/dhur): 9,07-10-2021,"Rs. 6,30,00,000"
Land On Sell,Kathmandu > Kapan  ,  Land Size (in aana/dhur): 3,26-12-2021,"Rs. 21,00,000"
Barmakhel Land On Sell,Kathmandu > Jorpati (Gokarneshwar)  ,  Land Size (in aana/dhur): 4,24-12-2021,"Rs. 20,00,000"
50 Ropani Land In Sidhupalchok,Sindhupalchok > Chautara  ,  Land Size (in aana/dhur): 50,05-01-2022,"Rs. 6,00,00,000"
My Trek Marlin 7 Brought From Thailand Is On Sale!,, ,04-12-2021,"Rs. 58,000"
8 Aana Dillibazar Land On Sale,Kathmandu > Dillibazar  ,  Land Size (in aana/dhur): 8,04-01-2022,"Rs. 78,00,000"
"2ropani Land With 2 Luxury House On Rent At Chuchepati,boudha Main Roa",Kathmandu > Boudha  ,  Land Size (in aana/dhur): 34,21-08-2021,"Rs. 5,00,000"
Land Sale In Godawari Jharuwarasi,Lalitpur > Jharuwarasi (Bajrabarahi), ,05-01-2022,"Rs. 20,50,000"
Land For Sell In Imadol,Lalitpur > Imadol (Mahalaxmi)  ,  Land Size (in aana/dhur): 2.5,06-01-2022,"Rs. 33,00,000"
Land Sale At Lubhu,Lalitpur > Lubhu (Mahalaxmi)  ,  Land Size (in aana/dhur): 8,06-01-2022,"Rs. 26,00,000"
Land Sale On Kavresthali,Kathmandu > Kavresthali (Tarkeshwar)  ,  Land Size (in aana/dhur): 3.5,05-01-2022,"Rs. 23,00,000"
Land In Sale At Toukhel Lalitpur 4.2 Aana,Lalitpur > Taukhel (Godawari)  ,  Land Size (in aana/dhur): 4.2,03-01-2022,"Rs. 17,50,000"
For Sale Land Malta Near Fast Track 22lakh Per Ropani,Lalitpur > Malta (Bagmati Rural)  ,  Land Size (in aana/dhur): 30 A,02-01-2022,"Rs. 1,40,000"
Mulpani Cricket Stadium Najik 3.75 Land,Kathmandu > Mulpani (Kageshwor)  ,  Land Size (in aana/dhur): 3.75,16-12-2021,"Rs. 24,00,000"
Land For Sale In Koteshwor Chowk,Kathmandu > Koteshwor  ,  Land Size (in aana/dhur): 7.5,14-09-2021,"Rs. 45,00,000"
3 Ana Land Sale At Sanagaun,Lalitpur > Sanagau (Mahalaxmi)  ,  Land Size (in aana/dhur): 3,21-12-2021,"Rs. 40,00,000"
Land On Sell,Kathmandu > Ramkot (Nagarjun)  ,  Land Size (in aana/dhur): 4,11-11-2021,"Rs. 19,50,000"
4 Aana Land With House On Sale,Kathmandu > Baluwatar  ,  Land Size (in aana/dhur): 4,26-12-2021,"Rs. 2,70,00,000"
5aana Residential Land For Sell At Basbari,Kathmandu > Bansbari, ,05-01-2022,"Rs. 55,00,000"
Land For Sale,Lalitpur > Dhapakhel  ,  Land Size (in aana/dhur): 3.1,07-12-2021,"Rs. 5,90,000"
Land Sale At Sallaghari Bhaktapur,Bhaktapur > Sallaghari  ,  Land Size (in aana/dhur): 6,16-12-2021,"Rs. 15,00,000"
Land Sale On Prime Location,Lalitpur > Imadol (Mahalaxmi)  ,  Land Size (in aana/dhur): 3,05-01-2022,"Rs. 42,50,000"
Land In Kathmandu Chandragiri,Kathmandu > Dahachok (Chandragiri)  ,  Land Size (in aana/dhur): 19,07-01-2022,"Rs. 12,00,000"
Commercial Land Sale,Kathmandu > Bhangal (Budhanilkantha)  ,  Land Size (in aana/dhur): 6,26-12-2021,"Rs. 49,50,000"
Land In Sale,Lalitpur > Dhapakhel, ,26-11-2021,"Rs. 15,00,000"
Gairidhara Ma 8 Ana Land For Sell,Kathmandu > Gairidhara  ,  Land Size (in aana/dhur): 8,04-01-2022,"Rs. 70,00,000"
Land On Sell Kirtipur,Kathmandu > Kirtipur (Kritipur), ,30-12-2021,"Rs. 22,00,000"
2 Ropani 9 Anna Land For Sale At Lakuri Bhanjyang,Lalitpur > Lamatar (Mahalaxmi)  ,  Land Size (in aana/dhur): 41,07-01-2022,"Rs. 5,50,000"
Land On Sale,Kathmandu > Thankot (Chandragiri)  ,  Land Size (in aana/dhur): 3-02,06-01-2022,"Rs. 28,00,000"
"House And Land For Sale In Kirtipur, Kathmandu",Kathmandu > Bhatkepati (Kirtipur)  ,  Land Size (in aana/dhur): 5.2,17-06-2021,"Rs. 1,35,00,000"
Lakuribhanjyang Land For Sale,Lalitpur > Lamatar (Mahalaxmi)  ,  Land Size (in aana/dhur): 3 Ro,27-12-2021,"Rs. 2,50,000"
Duwakot Bhatbhoteni Planning Ma Land On Sale,Bhaktapur > Duwakot (Changunarayan)  ,  Land Size (in aana/dhur): 3,31-12-2021,"Rs. 2,70,000"
"8 Ana Land Sale At Bhaisepati,chhampi",Lalitpur > Bhaisepati / Sainbu, ,23-12-2021,"Rs. 15,00,000"
Jhor Mahankal Land For Sale!,Kathmandu > Jhor Mahankal (Tokha), ,27-12-2021,"Rs. 19,00,000"
Land For Sale Near To Banepa 25 Kilo,Kavrepalanchok > Banepa  ,  Land Size (in aana/dhur): 3 An,01-01-2022,"Rs. 50,00,000"
Land For Sale In Kumaripati,Lalitpur > Kumaripati  ,  Land Size (in aana/dhur): 8.75,01-01-2022,"Rs. 80,00,000"
14 Aana Land On Lease At Sankhamol,Kathmandu > Shankhamul (New Baneshwor)  ,  Land Size (in aana/dhur): 14,22-12-2021,"Rs. 80,000"
Land On Sale At Kirtipur,Kathmandu > Kirtipur (Kritipur)  ,  Land Size (in aana/dhur): 28,24-12-2021,"Rs. 27,00,000"
Land For Sale,Kathmandu > Basundhara, ,18-12-2021,"Rs. 45,00,000"
Land On Sale At Shantinagar Baneshwor,Kathmandu > Shantinagar (New Baneshwor)  ,  Land Size (in aana/dhur): 5,30-12-2021,"Rs. 1,35,00,000"
For Sale Land,Kavrepalanchok > Mandandeupur, ,26-12-2021,"Rs. 6,00,000"
"House & Land On Red Cross Marg, Tahachal Ward 13",Kathmandu > Tahachal  ,  Land Size (in aana/dhur): 12.5,05-01-2022,"Rs. 11,000"
Land For Sale In Bungmati,Lalitpur > Bungamati (Karyabinayak), ,04-01-2022,"Rs. 32,00,000"
16 Aana Land Sale At Divyeswori Manohara Planning,Bhaktapur > Manohara  ,  Land Size (in aana/dhur): 16,26-12-2021,"Rs. 40,00,000"
Land For Sale In Bhaktapur,Bhaktapur > Sudal  ,  Land Size (in aana/dhur): 4-2,05-01-2022,"Rs. 17,00,000"
33 Aaa Ana Land With Bonglow On Sale,Kathmandu > Chundevi (Maharajgunj)  ,  Land Size (in aana/dhur): 33,21-12-2021,"Rs. 21,00,00,000"
Land On Rent,Kathmandu > Mandikatar (Dhumbarahi)  ,  Land Size (in aana/dhur): 32,09-11-2021,"Rs. 1,00,000"
Sale For House,Bhaktapur > Nagarkot  ,  Land Size (in aana/dhur): 13,03-01-2022,"Rs. 5,00,00,000"
Land On Sale At Lamatar,Lalitpur > Lamatar (Mahalaxmi)  ,  Land Size (in aana/dhur): 7,16-12-2021,"Rs. 24,50,000"
Land For Sale On Tokha,Kathmandu > Tokha Chandeshwari (Tokha)  ,  Land Size (in aana/dhur): 4.1.,21-12-2021,"Rs. 24,50,000"
Land On Sale Near Pokhara Industrial State,Kaski (Pokhara) > Airport Pokhara  ,  Land Size (in aana/dhur): 5ana,06-12-2021,"Rs. 42,00,000"
5 Aana Land Sale In Kathmandu Brambakhel,Kathmandu > Gagalphedi (Kageshwor)  ,  Land Size (in aana/dhur): 5 Aa,04-01-2022,"Rs. 26,00,000"
4 Aana Land ... Bhainsepati Phulbari Marga,Lalitpur > Bhaisepati / Sainbu  ,  Land Size (in aana/dhur): 6.1,02-12-2021,"Rs. 45,00,000"
Land For Sale,Lalitpur > Nakhudole (Bhaisepati), ,07-12-2021,"Rs. 6,00,000"
Land Sale At Lokanthali (near Matribhumi School),Bhaktapur > Lokanthali  ,  Land Size (in aana/dhur): 3.75,05-12-2021,"Rs. 47,00,000"
Land On Sale At Thapagaun Baneshwor,Kathmandu > Thapa Gaun (New Baneshwor)  ,  Land Size (in aana/dhur): 10,01-01-2022,"Rs. 1,25,00,000"
House With 8 Aana Land At Balaju Height At 1.90 Crore Only,Kathmandu > Balaju  ,  Land Size (in aana/dhur): 8,03-01-2022,"Rs. 1,90,00,000"
Peaceful Land On Sale(urgent),Kathmandu > Gokarna (Gokarneshwar)  ,  Land Size (in aana/dhur): 3.3,24-09-2021,"Rs. 31,00,000"
Land For Sale At Lele,Lalitpur > Lele (Bajrabarahi)  ,  Land Size (in aana/dhur): 100,14-12-2021,"Rs. 4,00,000"
Very Urgent Land Sale In Galchhi Dhading,Dhading > Dhading (Other Area)  ,  Land Size (in aana/dhur): 52,12-11-2021,"Rs. 1,00,000"
"For Rent Land At Swayambhu, Buddhapark",Kathmandu > Swoyambhu, ,15-12-2021,"Rs. 25,000"
For Sale Land,Kavrepalanchok > Mandandeupur, ,19-12-2021,"Rs. 3,00,000"
Land On Sale,Lalitpur > Bhaisepati / Sainbu  ,  Land Size (in aana/dhur): 16,04-01-2022,"Rs. 1,15,00,000"
Beautiful Land For Sale In Nala,Kavrepalanchok > Banepa, ,15-11-2021,"Rs. 17,50,000"
"Budanilkantha, Taulung 4 Aana Land For Sale",Kathmandu > Budhanilkantha  ,  Land Size (in aana/dhur): 4,04-12-2021,"Rs. 20,00,000"
Sa.sto 10 Anna Land At Thecho,Lalitpur > Thecho (Bajrabarahi)  ,  Land Size (in aana/dhur): 10,02-12-2021,"Rs. 9,99,999"
Kathmandu Dhumbararahi 35 Aana Land Sale,Kathmandu > Dhumbarahi  ,  Land Size (in aana/dhur): 35,26-12-2021,"Rs. 3,000"
Land Sell Lalitpur Ward No : 10,Lalitpur > Lamatar (Mahalaxmi), ,24-12-2021,"Rs. 6,50,000"
Urgent Land Sale In Sirutar,Bhaktapur > Sirutar (Ananta)  ,  Land Size (in aana/dhur): 4,14-12-2021,"Rs. 20,50,000"
Land On Sale At Chapagaun Lalitpur,Lalitpur > Champi (Karyabinayak)  ,  Land Size (in aana/dhur): 35,28-12-2021,"Rs. 8,00,000"
Land For Sale In Bhaisepati Vibor Plotting,Lalitpur > Bhaisepati / Sainbu  ,  Land Size (in aana/dhur): 3.5,26-12-2021,"Rs. 28,00,000"
4 Aana Land For Sale In Lubhu,Lalitpur > Lubhu (Mahalaxmi)  ,  Land Size (in aana/dhur): 04,07-01-2022,"Rs. 32,50,000"
Land On Sale Bhaktapur Bode,Bhaktapur > Bode  ,  Land Size (in aana/dhur): 2.5,10-12-2021,"Rs. 20,00,000"
Land Sale In Godawari,Lalitpur > Godawari, ,05-01-2022,"Rs. 20,00,000"
4 Ana Land For Sale At Mhepi 32 Lakh Per Ana,Kathmandu > Mhepi  ,  Land Size (in aana/dhur): 4,31-12-2021,"Rs. 32,00,000"
Bhaktapur Land On Sale,Bhaktapur > Chyamasing, ,28-11-2021,"Rs. 40,00,000"
Land On Sale,Lalitpur > Dhapakhel  ,  Land Size (in aana/dhur): 3 An,08-10-2021,"Rs. 25,00,000"
8 Ana Land On Sale At Maharajgunj Near Saleways,Kathmandu > Maharajgunj  ,  Land Size (in aana/dhur): 8,18-11-2021,"Rs. 44,00,000"
Bistachap Plotting Land For Sell,Lalitpur > Bistachap (Godawari)  ,  Land Size (in aana/dhur): 1500,03-01-2022,"Rs. 15,00,000"
New Baneswor Chowk Land( Not Plottable),Kathmandu > Shankhamul (New Baneshwor)  ,  Land Size (in aana/dhur): 30,26-12-2021,"Rs. 80,00,00,000"
Resort Land For Sale In Pokhara (rs.3cr & 20lakhs),Kaski (Pokhara) > Lekhnath (Outskirt), ,09-10-2021,"Rs. 4,00,000"
Beutyfull House On Sale Or Xchange With Lubhu Lamatar Land,Lalitpur > Lubhu (Mahalaxmi)  ,  Land Size (in aana/dhur): 3.1,09-12-2021,"Rs. 1,90,00,000"
Land On Sale At Buddhanagar,Kathmandu > Buddha Nagar (New Baneshwar)  ,  Land Size (in aana/dhur): 12,26-12-2021,"Rs. 57,50,000"
Land On Sale At Thankot Height,Kathmandu > Thankot (Chandragiri)  ,  Land Size (in aana/dhur): 4,02-01-2022,"Rs. 15,50,000"
"Land On Sale In Pokhara-30, Sisuwa",Kaski (Pokhara) > Lekhnath (Outskirt)  ,  Land Size (in aana/dhur): 5.02,29-12-2021,"Rs. 4,25,000"
"Lele Godawari Municipality -06, 40 Ropani Land On Sale",Lalitpur > Lele (Bajrabarahi)  ,  Land Size (in aana/dhur): 40 R,17-12-2020,"Rs. 1,50,000"
"Land Sale In Hetauda, Padam Pokhari, Bhorle 0-7-5.5-0",Makwanpur (Hetauda) > Hetauda (Other Area)  ,  Land Size (in aana/dhur): 151,23-12-2021,"Rs. 1,50,000"
Land For Sale,Kathmandu > Budhanilkantha, ,05-12-2021,"Rs. 25,00,000"
Plotted Land On Sale,Kathmandu > Matatirtha (Chandragiri)  ,  Land Size (in aana/dhur): 3 Aa,05-01-2022,"Rs. 17,00,000"
Land For Sale In Tokha,Kathmandu > Tokha  ,  Land Size (in aana/dhur): 5,27-11-2021,"Rs. 25,00,000"
Land For Sale Budhanilkantha,Kathmandu > Budhanilkantha  ,  Land Size (in aana/dhur): 15,06-01-2022,"Rs. 37,85,000"
Land For Lease,Lalitpur > Dhapakhel  ,  Land Size (in aana/dhur): 32,04-01-2022,"Rs. 60,000"
22 Ropani Land On Sale Near Nagarkot,Kavrepalanchok > Mandandeupur  ,  Land Size (in aana/dhur): 352,06-12-2021,"Rs. 2,50,000"
4 Aana Land Dhapakhel,Lalitpur > Dhapakhel  ,  Land Size (in aana/dhur): 4,04-01-2022,"Rs. 2,60,000"
"Land For Sale At Sunthan, Panauti",Kavrepalanchok > Panauti  ,  Land Size (in aana/dhur): 26,03-12-2021,"Rs. 7,00,000"
Plotted Land On Sale,Kathmandu > Bhatkepati (Kirtipur)  ,  Land Size (in aana/dhur): 3.5,31-12-2021,"Rs. 30,00,000"
Land For Rent Naxal,Kathmandu > Naxal  ,  Land Size (in aana/dhur): 7 Aa,30-12-2021,"Rs. 70,000"
Resort Homestay Land On Rent,Lalitpur > Thaiba (Godawari), ,04-01-2022,"Rs. 25,000"
10 Ana Land In Budhanilkantha,Kathmandu > Budhanilkantha, ,20-12-2021,"Rs. 35,00,000"
Land For Rent At Imadol,Lalitpur > Imadol (Mahalaxmi)  ,  Land Size (in aana/dhur): 10,28-12-2021,"Rs. 12,000"
Land With House,Makwanpur (Hetauda) > Kanti rajpath  ,  Land Size (in aana/dhur): 25,15-12-2021,"Rs. 85,00,000"
Land For Rent,Kathmandu > Baluwatar  ,  Land Size (in aana/dhur): 20,04-12-2021,"Rs. 55,000"
Land On Sale,Kathmandu > Chandragiri  ,  Land Size (in aana/dhur): 3,03-01-2022,"Rs. 24,00,000"
"Land On Sale At Godamchaur, Lalitpur",Lalitpur > Godamchaur (Godawari)  ,  Land Size (in aana/dhur): 5 An,21-12-2021,"Rs. 16,00,000"
Land On Rent Harishiddhi,Lalitpur > Harisiddhi  ,  Land Size (in aana/dhur): 16,02-01-2022,"Rs. 15,000"
3.5 Anna Land At Prime Location,Bhaktapur > Dadhikot (Ananta)  ,  Land Size (in aana/dhur): 3.5,09-06-2021,"Rs. 27,00,000"
3 Aana 1 Daam Land Bikrima,Bhaktapur > Madhyapur Thimi  ,  Land Size (in aana/dhur): 3.1,03-01-2022,"Rs. 30,50,000"
For Sale Land,Kavrepalanchok > Mandandeupur, ,26-12-2021,"Rs. 1,00,00,000"
Plotting Land Book And Sale,Lalitpur > Taukhel (Godawari)  ,  Land Size (in aana/dhur): 3-5,05-12-2021,"Rs. 17,00,000"
4 Anna Land Sale In Annapurna Chowk Banasthali,Kathmandu > Dhungedhara (Banasthali)  ,  Land Size (in aana/dhur): 4,18-09-2021,"Rs. 35,00,000"
Land In Soaltidobato Alkatra Factory,Kathmandu > Bafal  ,  Land Size (in aana/dhur): 8 Aa,03-01-2022,"Rs. 32,00,000"
"3 Or 6 Anna Land For Sale Near Araniko School, Bhaktapur",Bhaktapur > Dadhikot (Ananta), ,01-01-2022,"Rs. 24,00,000"
Land On Sale,Kathmandu > Nayapati (Gokarneshwar)  ,  Land Size (in aana/dhur): 4.75,20-11-2021,"Rs. 20,00,000"
Land 4 Ana,Kathmandu > Tokha Saraswati (Tokha)  ,  Land Size (in aana/dhur): 4 An,20-10-2021,"Rs. 26,00,000"
Land For Sale,Kathmandu > Goldhunga (Tarkeshwar)  ,  Land Size (in aana/dhur): 5 Aa,31-12-2021,"Rs. 20,00,000"
Toyota Land Cruiser,, ,08-12-2021,"Rs. 50,00,000"
Toyota Land Cruiser 95 Model,, ,06-09-2021,"Rs. 26,00,000"
Land For Sale,Kathmandu > Sitapaila (Nagarjun)  ,  Land Size (in aana/dhur): 3.5,02-01-2022,"Rs. 35,00,000"
Land For Sale,Bhaktapur > Sudal  ,  Land Size (in aana/dhur): 4 рд,05-01-2022,"Rs. 16,00,000"
Land On Sale Budhanilakantha Hight,Kathmandu > Budhanilkantha  ,  Land Size (in aana/dhur): 3.75,31-12-2021,"Rs. 23,00,000"
Ikudol Land For Sale,Lalitpur > Ikudol (Bagmati Rural), ,03-12-2021,"Rs. 3,00,000"
Plotting Land For Sale At Imadol Lamatar,Lalitpur > Imadol (Mahalaxmi)  ,  Land Size (in aana/dhur): 3.3,02-01-2022,"Rs. 28,00,000"
Land On Sale,Bhaktapur > Madhyapur Thimi  ,  Land Size (in aana/dhur): 12 A,25-12-2021,"Rs. 36,00,000"
Polo Highlander 1.6,, ,08-12-2021,"Rs. 20,70,000"
Mens Original Timberland Shoes Is For Sale.,, ,04-01-2022,"Rs. 16,000"
Land For Sale,Kathmandu > Ichangu Narayan (Nagarjun)  ,  Land Size (in aana/dhur): 4,17-10-2021,"Rs. 27,00,000"
Land For Sale In Dang,Dang > Dang (Other Area), ,03-01-2022,"Rs. 1,60,000"
Perfect Residential Land On Golfutar,Kathmandu > Golfutar (Budhanilkantha)  ,  Land Size (in aana/dhur): 4.2,05-01-2022,"Rs. 35,00,000"
Commercial Land At Ason,Kathmandu > Ason  ,  Land Size (in aana/dhur): 1,30-12-2021,"Rs. 1,50,00,000"
6.5 Anna + 5 Aana Land For Sale In Minbhawan,Kathmandu > Min Bhawan (New Baneshwor), ,03-12-2021,"Rs. 70,00,000"
Attractive Land On Sale In Machhegaun,Kathmandu > Machhegaun (Chandragiri)  ,  Land Size (in aana/dhur): 3,06-01-2022,"Rs. 25,00,000"
Land On Sale At Simali Budhanilakantha Hight,Kathmandu > Budhanilkantha  ,  Land Size (in aana/dhur): 5.5,31-12-2021,"Rs. 22,75,000"
14 Aana Land On Bishalnagar,Kathmandu > Bishal Nagar  ,  Land Size (in aana/dhur): 14,26-12-2021,"Rs. 68,00,000"
Land For Sell,Lalitpur > Harisiddhi  ,  Land Size (in aana/dhur): 4,04-12-2021,"Rs. 21,00,000"
Land Sale,Bhaktapur > Balkot (Ananta)  ,  Land Size (in aana/dhur): 6 An,03-01-2022,"Rs. 50,00,000"
Plotted Land In Kohalpur,Banke > Kohalpur  ,  Land Size (in aana/dhur): 12.5,08-12-2021,"Rs. 2,20,000"
"Land,house And Farm At Panchkhal Kavre",Kavrepalanchok > Panauti  ,  Land Size (in aana/dhur): 80,28-12-2021,"Rs. 2,50,000"
Land For Sale In Lazimpat Man Road,Kathmandu > Lazimpat  ,  Land Size (in aana/dhur): 4 Aa,09-12-2021,"Rs. 2,50,00,000"
Nakhipot Land Bikrima.,Lalitpur > Nakhipot, ,28-12-2021,"Rs. 30,00,000"
Land For Sale; Bansbari 6aana,Kathmandu > Bansbari  ,  Land Size (in aana/dhur): 6,04-01-2022,"Rs. 55,00,000"
"Land Available For Sale In Jagati,sipadol",Bhaktapur > Jagati  ,  Land Size (in aana/dhur): 5 рд,30-12-2021,"Rs. 16,00,000"
Beautiful Land 5 Aana On Sale At Godawari,Lalitpur > Godawari  ,  Land Size (in aana/dhur): 5,22-10-2021,"Rs. 14,50,000"
Land On Sale Chitwan,Chitwan > Ratnanagar / Tandi  ,  Land Size (in aana/dhur): 12,06-01-2022,"Rs. 3,00,000"
